RA,Fase,INDE 2023,Pedra 2023,Turma,Nome Anonimizado,Data de Nasc,Idade,Gênero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra 22,Pedra 23,INDE 22,INDE 23,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,IPP,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Fase Ideal,Defasagem,Destaque IEG,Destaque IDA,Destaque IPV,Destaque IPV.1
RA-861,ALFA,9.31095,Topázio,ALFA A - G0/G1,Aluno-861,6/17/2015,8,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,10.0,8.13,8.4375,,9.6,9.8,9.4,,,,8.92,10.0,ALFA (1° e 2° ano),0,,,,
RA-862,ALFA,8.2212,Topázio,ALFA A - G0/G1,Aluno-862,5/31/2014,9,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,8.5,9.1,8.14,7.5,,8.9,8.5,9.2,,,,8.585,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-863,ALFA,5.92975,Quartzo,ALFA A - G0/G1,Aluno-863,2/25/2016,7,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,7.6,3.14,5.9375,,6.3,7.0,5.5,,,,6.26,10.0,ALFA (1° e 2° ano),0,,,,
RA-864,ALFA,7.034,Ametista,ALFA A - G0/G1,Aluno-864,2015-12-03 00:00:00,1900-01-08 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,7.6,8.14,7.5,,6.3,7.0,5.5,,,,8.5,10.0,ALFA (1° e 2° ano),0,,,,
RA-865,ALFA,8.1552,Topázio,ALFA A - G0/G1,Aluno-865,11/13/2014,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,8.5,8.7,7.52,7.5,,7.4,7.3,7.5,,,,7.915,10.0,ALFA (1° e 2° ano),0,,,,
RA-866,ALFA,7.679,Ametista,ALFA A - G0/G1,Aluno-866,2016-10-02 00:00:00,1900-01-07 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.3,8.76,7.5,,8.6,8.2,8.9,,,,8.415,10.0,ALFA (1° e 2° ano),0,,,,
RA-867,ALFA,8.6992,Topázio,ALFA A - G0/G1,Aluno-867,6/29/2015,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,8.6,8.76,7.5,,8.9,8.7,9.0,,,,8.415,10.0,ALFA (1° e 2° ano),0,,,,
RA-868,ALFA,8.63895,Topázio,ALFA A - G0/G1,Aluno-868,2015-08-11 00:00:00,1900-01-07 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,9.5,8.76,7.1875,,7.1,7.8,6.3,,,,8.67,10.0,ALFA (1° e 2° ano),0,,,,
RA-869,ALFA,9.2587,Topázio,ALFA A - G0/G1,Aluno-869,1/15/2015,8,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,10.0,8.76,8.125,,9.6,9.8,9.4,,,,8.75,10.0,ALFA (1° e 2° ano),0,,,,
RA-870,ALFA,4.909,Quartzo,ALFA A - G0/G1,Aluno-870,10/20/2014,9,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.5,8.76,5.0,,1.5,2.0,1.0,,,,5.165,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-871,ALFA,6.8617,Agata,ALFA B - G2/G3,Aluno-871,6/21/2014,9,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.5,3.76,4.375,,6.9,6.8,7.0,,,,6.84,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-872,ALFA,5.267,Quartzo,ALFA B - G2/G3,Aluno-872,5/27/2013,10,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,6.7,2.52,6.25,,4.3,5.5,3.0,,,,8.5,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-873,ALFA,7.8012,Ametista,ALFA B - G2/G3,Aluno-873,2012-01-03 00:00:00,1900-01-11 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,9.7,7.52,6.25,,7.0,7.2,6.8,,,,8.67,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-874,ALFA,5.811,Quartzo,ALFA B - G2/G3,Aluno-874,11/17/2013,9,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,8.2,7.52,6.25,,4.8,6.3,3.3,,,,6.67,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-875,ALFA,8.2712,Topázio,ALFA B - G2/G3,Aluno-875,4/26/2014,9,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,7.5,,7.3,7.0,7.5,,,,9.845,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-876,ALFA,8.6492,Topázio,ALFA B - G2/G3,Aluno-876,2015-11-04 00:00:00,1900-01-08 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.4,7.52,7.5,,7.5,7.3,7.7,,,,8.835,10.0,ALFA (1° e 2° ano),0,,,,
RA-877,ALFA,7.4722,Ametista,ALFA B - G2/G3,Aluno-877,6/24/2014,9,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,5.0,,6.9,7.5,6.2,,,,7.5,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-878,ALFA,6.24,Agata,ALFA B - G2/G3,Aluno-878,7/22/2013,10,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.5,2.52,5.0,,8.1,8.0,8.2,,,,7.34,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-879,ALFA,6.8225,Agata,ALFA B - G2/G3,Aluno-879,2014-05-03 00:00:00,1900-01-09 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.8,2.52,6.875,,8.2,8.2,8.2,,,,8.915,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-880,ALFA,6.724,Agata,ALFA B - G2/G3,Aluno-880,11/29/2015,7,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.4,2.52,6.25,,6.3,6.3,6.2,,,,8.585,10.0,ALFA (1° e 2° ano),0,,,,
RA-881,ALFA,7.7322,Ametista,ALFA B - G2/G3,Aluno-881,4/23/2015,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,8.9,7.52,5.0,,7.3,7.5,7.0,,,,6.25,10.0,ALFA (1° e 2° ano),0,,,,
RA-882,ALFA,6.0092,Agata,ALFA C - G0/G1,Aluno-882,6/15/2015,8,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,8.6,2.52,3.75,,4.7,4.8,4.5,,,,4.16,10.0,ALFA (1° e 2° ano),0,,,,
RA-883,ALFA,8.5082,Topázio,ALFA C - G0/G1,Aluno-883,2015-11-02 00:00:00,1900-01-08 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.5,9.7,6.89,6.25,,8.4,8.0,8.7,,,,8.17,10.0,ALFA (1° e 2° ano),0,,,,
RA-884,ALFA,8.4587,Topázio,ALFA C - G0/G1,Aluno-884,2015-02-12 00:00:00,1900-01-07 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,9.7,4.39,6.875,,8.8,8.4,9.2,,,,8.66,10.0,ALFA (1° e 2° ano),0,,,,
RA-885,ALFA,8.8252,Topázio,ALFA C - G0/G1,Aluno-885,10/30/2015,7,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,9.8,7.52,7.5,,8.7,8.5,8.8,,,,8.665,10.0,ALFA (1° e 2° ano),0,,,,
RA-886,ALFA,8.6422,Topázio,ALFA C - G0/G1,Aluno-886,2016-05-01 00:00:00,1900-01-07 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.5,9.4,7.52,7.5,,8.1,7.6,8.5,,,,9.0,10.0,ALFA (1° e 2° ano),0,,,,
RA-887,ALFA,8.6718,Topázio,ALFA C - G0/G1,Aluno-887,10/16/2015,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.9,8.9,7.52,7.5,,8.4,7.8,9.0,,,,9.09,10.0,ALFA (1° e 2° ano),0,,,,
RA-888,ALFA,8.9182,Topázio,ALFA C - G0/G1,Aluno-888,2016-11-04 00:00:00,1900-01-07 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.0,10.0,7.52,7.5,,8.8,8.2,9.3,,,,8.83,10.0,ALFA (1° e 2° ano),0,,,,
RA-889,ALFA,8.8092,Topázio,ALFA C - G0/G1,Aluno-889,2015-07-07 00:00:00,1900-01-08 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.5,9.5,6.89,7.5,,9.1,8.7,9.5,,,,9.0,10.0,ALFA (1° e 2° ano),0,,,,
RA-890,ALFA,6.989,Agata,ALFA C - G0/G1,Aluno-890,2/26/2015,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,0.0,9.1,2.52,6.25,,8.3,8.0,8.6,,,,8.16,10.0,ALFA (1° e 2° ano),0,,,,
RA-891,ALFA,7.8882,Ametista,ALFA C - G0/G1,Aluno-891,2014-03-10 00:00:00,1900-01-09 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,9.5,9.5,6.89,7.5,,7.5,6.2,8.8,,,,7.995,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-684,ALFA,7.4277,Ametista,ALFA D - G2/G3,Aluno-684,1/15/2015,8,Masculino,2022,Privada,,,Topázio,,8.26,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,8.1,7.52,6.875,,6.5,8.3,4.7,,,,5.84,10.0,ALFA (1° e 2° ano),0,,,,
RA-892,ALFA,8.8112,Topázio,ALFA D - G2/G3,Aluno-892,1/16/2015,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.0,9.6,6.89,7.5,,8.3,8.5,8.0,,,,10.01,10.0,ALFA (1° e 2° ano),0,,,,
RA-857,ALFA,8.1442,Topázio,ALFA D - G2/G3,Aluno-857,11/21/2013,9,Feminino,2022,Pública,,,Topázio,,8.154,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,9.0,7.52,7.5,,8.5,8.7,8.2,,,,9.01,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-893,ALFA,8.8042,Topázio,ALFA D - G2/G3,Aluno-893,2014-05-10 00:00:00,1900-01-09 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,10.0,7.52,7.5,,9.3,9.5,9.0,,,,10.01,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-894,ALFA,8.8142,Topázio,ALFA D - G2/G3,Aluno-894,4/14/2014,9,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.9,7.52,7.5,,9.4,9.3,9.5,,,,10.01,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-690,ALFA,8.6112,Topázio,ALFA D - G2/G3,Aluno-690,2013-01-09 00:00:00,1900-01-10 00:00:00,Feminino,2022,Pública,,,Ametista,,7.541,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.8,6.89,7.5,,9.1,9.3,8.8,,,,10.01,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-895,ALFA,8.5397,Topázio,ALFA D - G2/G3,Aluno-895,5/27/2015,8,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.5,7.52,6.875,,6.8,6.8,6.7,,,,9.5,10.0,ALFA (1° e 2° ano),0,,,,
RA-896,ALFA,9.0912,Topázio,ALFA D - G2/G3,Aluno-896,12/24/2015,7,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,10.0,6.89,7.5,,8.5,9.0,8.0,,,,10.01,10.0,ALFA (1° e 2° ano),0,,,,
RA-693,ALFA,9.0112,Topázio,ALFA D - G2/G3,Aluno-693,2015-03-04 00:00:00,1900-01-08 00:00:00,Feminino,2022,Pública,,,Ametista,,7.944,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.4,6.89,7.5,,8.5,8.2,8.7,,,,10.01,10.0,ALFA (1° e 2° ano),0,,,,
RA-675,ALFA,8.3577,Topázio,ALFA D - G2/G3,Aluno-675,2014-09-11 00:00:00,1900-01-08 00:00:00,Masculino,2022,Pública,,,Ametista,,7.576,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,8.0,7.52,6.875,,8.3,8.5,8.0,,,,8.34,10.0,ALFA (1° e 2° ano),0,,,,
RA-850,ALFA,6.06525,Agata,ALFA D - G2/G3,Aluno-850,1/22/2014,9,Masculino,2022,Pública,,,Ametista,,7.641,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,7.9,6.26,6.5625,,7.3,6.8,7.7,,,,6.265,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-897,ALFA,5.48225,Quartzo,ALFA D - G2/G3,Aluno-897,2014-02-08 00:00:00,1900-01-09 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,8.1,7.52,6.5625,,6.5,7.2,5.7,,,,3.32,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-842,ALFA,7.2117,Ametista,ALFA E - G2/G3,Aluno-842,5/13/2014,9,Feminino,2022,Pública,,,Ametista,,7.952,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,8.5,3.77,5.625,,7.9,8.2,7.5,,,,8.01,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-898,ALFA,8.4217,Topázio,ALFA E - G2/G3,Aluno-898,2014-03-06 00:00:00,1900-01-09 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.8,3.77,8.125,,9.4,9.7,9.0,,,,10.01,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-899,ALFA,8.8452,Topázio,ALFA E - G2/G3,Aluno-899,3/27/2015,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.8,3.77,7.5,,9.5,9.3,9.6,,,,9.34,10.0,ALFA (1° e 2° ano),0,,,,
RA-900,ALFA,8.8947,Topázio,ALFA E - G2/G3,Aluno-900,3/18/2015,8,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,9.8,9.38,8.125,,7.8,8.0,7.5,,,,8.67,10.0,ALFA (1° e 2° ano),0,,,,
RA-846,ALFA,7.4637,Ametista,ALFA E - G2/G3,Aluno-846,5/15/2015,8,Feminino,2022,Pública,,,Ametista,,7.412,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,8.2,3.77,5.625,,6.0,6.3,5.7,,,,8.67,10.0,ALFA (1° e 2° ano),0,,,,
RA-901,ALFA,7.3112,Ametista,ALFA E - G2/G3,Aluno-901,12/30/2012,10,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.5,8.7,3.77,6.25,,7.5,7.7,7.3,,,,8.595,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-743,ALFA,6.659,Agata,ALFA E - G2/G3,Aluno-743,8/31/2013,10,Feminino,2022,Pública,,,Ágata,,6.672,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,9.1,3.77,7.5,,7.1,7.3,6.8,,,,9.01,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-681,ALFA,6.2955,Agata,ALFA E - G2/G3,Aluno-681,12/14/2012,10,Masculino,2022,Pública,,,Ametista,,7.204,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,7.8,3.77,5.625,,8.3,8.8,7.8,,,,8.18,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-902,ALFA,5.97345,Quartzo,ALFA E - G2/G3,Aluno-902,10/24/2011,12,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.3,2.52,5.3125,,3.9,4.5,3.3,,,,6.5,2.5,Fase 3 (7° e 8° ano),-3,,,,
RA-903,ALFA,8.5242,Topázio,ALFA E - G2/G3,Aluno-903,2015-04-04 00:00:00,1900-01-08 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,9.6,5.02,7.5,,7.8,7.7,7.8,,,,9.01,10.0,ALFA (1° e 2° ano),0,,,,
RA-851,ALFA,6.1683,Agata,ALFA E - G2/G3,Aluno-851,2014-03-03 00:00:00,1900-01-09 00:00:00,Masculino,2022,Pública,,,Ametista,,7.515,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,8.4,7.5,2.52,5.625,,6.6,6.8,6.3,,,,6.01,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-847,ALFA,6.5418,Agata,ALFA E - G2/G3,Aluno-847,4/30/2013,10,Masculino,2022,Pública,,,Ágata,,6.839,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.9,9.1,2.52,5.0,,7.6,7.5,7.6,,,,5.84,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-904,ALFA,8.140783333,Topázio,ALFA F - G0/G1,Aluno-904,2016-12-02 00:00:00,1900-01-07 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.3,7.52,7.8125,,6.4,6.0,6.8,,,,7.836666667,10.0,ALFA (1° e 2° ano),0,,,,
RA-858,ALFA,7.248833333,Ametista,ALFA F - G0/G1,Aluno-858,2015-09-02 00:00:00,1900-01-08 00:00:00,Masculino,2022,Pública,,,Ametista,,7.523,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.1,3.77,8.125,,9.3,9.3,9.2,,,,7.946666667,10.0,ALFA (1° e 2° ano),0,,,,
RA-905,ALFA,7.831033333,Ametista,ALFA F - G0/G1,Aluno-905,11/27/2013,9,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,9.4,7.52,6.875,,8.3,7.5,9.0,,,,7.056666667,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-702,ALFA,8.239866667,Topázio,ALFA F - G0/G1,Aluno-702,2014-03-02 00:00:00,1900-01-09 00:00:00,Feminino,2022,Pública,,,Ametista,,7.387,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,10.0,5.63,7.5,,9.3,9.3,9.3,,,,7.833333333,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-725,ALFA,8.117366667,Topázio,ALFA F - G0/G1,Aluno-725,9/30/2014,9,Masculino,2022,Pública,,,Ágata,,6.33,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,9.0,7.52,8.125,,8.4,8.1,8.7,,,,8.113333333,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-906,ALFA,8.1922,Topázio,ALFA F - G0/G1,Aluno-906,2015-10-06 00:00:00,1900-01-08 00:00:00,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,7.5,9.2,7.52,7.5,,8.6,7.7,9.4,,,,6.95,10.0,ALFA (1° e 2° ano),0,,,,
RA-907,ALFA,8.962033333,Topázio,ALFA F - G0/G1,Aluno-907,10/23/2015,8,Feminino,2023,Privada,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.5,9.6,7.52,8.125,,9.3,9.2,9.4,,,,8.336666667,10.0,ALFA (1° e 2° ano),0,,,,
RA-908,ALFA,8.479366667,Topázio,ALFA F - G0/G1,Aluno-908,2015-08-06 00:00:00,1900-01-08 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,9.0,9.0,7.52,8.125,,7.9,6.7,9.0,,,,8.223333333,10.0,ALFA (1° e 2° ano),0,,,,
RA-909,ALFA,8.486033333,Topázio,ALFA F - G0/G1,Aluno-909,10/22/2013,10,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,10.0,9.9,7.52,8.125,,9.2,9.1,9.2,,,,8.056666667,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-708,ALFA,7.5105,Ametista,ALFA F - G0/G1,Aluno-708,11/30/2013,9,Masculino,2022,Pública,,Topázio,Ametista,,7.282,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,9.8,7.52,8.125,,9.2,8.8,9.5,,,,8.28,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-910,ALFA,7.801,Ametista,ALFA F - G0/G1,Aluno-910,1/23/2015,8,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-2,,,,,,0.0,8.8,7.52,8.75,,8.9,8.8,9.0,,,,8.17,10.0,ALFA (1° e 2° ano),0,,,,
RA-671,ALFA,6.5143,Agata,ALFA G - G2/G3,Aluno-671,2013-04-04 00:00:00,1900-01-10 00:00:00,Masculino,2021,Pública,,Ametista,Ametista,,7.617,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.9,8.3,3.14,5.625,,7.8,8.0,7.5,,,,5.68,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-836,ALFA,7.6417,Ametista,ALFA G - G2/G3,Aluno-836,2013-10-02 00:00:00,1900-01-10 00:00:00,Masculino,2022,Pública,,,Ametista,,7.665,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.6,6.27,6.875,,6.7,6.7,6.7,,,,8.085,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-911,ALFA,5.59545,Quartzo,ALFA G - G2/G3,Aluno-911,5/19/2012,11,Masculino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,6.7,2.52,5.3125,,3.4,3.7,3.0,,,,7.01,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-860,ALFA,8.2372,Topázio,ALFA G - G2/G3,Aluno-860,2015-08-01 00:00:00,1900-01-08 00:00:00,Masculino,2022,Pública,,,Topázio,,8.136,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.0,9.8,6.89,7.5,,7.4,7.2,7.5,,,,8.34,10.0,ALFA (1° e 2° ano),0,,,,
RA-727,ALFA,7.6802,Ametista,ALFA G - G2/G3,Aluno-727,2014-11-08 00:00:00,1900-01-09 00:00:00,Masculino,2022,Pública,,,Ametista,,7.736,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,8.8,2.52,7.5,,8.0,8.3,7.7,,,,9.34,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-739,ALFA,7.5972,Ametista,ALFA G - G2/G3,Aluno-739,1/31/2014,9,Masculino,2022,Pública,,,Ágata,,6.82,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,8.3,7.52,6.25,,7.6,7.3,7.8,,,,8.25,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-740,ALFA,7.2845,Ametista,ALFA G - G2/G3,Aluno-740,8/18/2013,10,Feminino,2022,Privada,,,Ametista,,7.218,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,8.7,7.52,6.875,,9.1,9.0,9.2,,,,8.925,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-912,ALFA,7.0797,Ametista,ALFA G - G2/G3,Aluno-912,6/13/2014,9,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,7.0,9.4,7.52,5.625,,6.3,6.2,6.3,,,,7.175,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-706,ALFA,7.1527,Ametista,ALFA G - G2/G3,Aluno-706,2012-10-12 00:00:00,1900-01-10 00:00:00,Feminino,2021,Pública,,Ágata,Ametista,,7.659,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.0,7.8,4.39,6.875,,7.3,6.7,7.8,,,,8.08,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-840,ALFA,7.7862,Ametista,ALFA G - G2/G3,Aluno-840,2014-02-02 00:00:00,1900-01-09 00:00:00,Masculino,2022,Pública,,,Ametista,,7.875,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,9.5,9.0,4.38,7.5,,8.2,8.3,8.0,,,,8.59,5.0,Fase 1 (3° e 4° ano),-1,,,,
RA-841,ALFA,6.78,Agata,ALFA G - G2/G3,Aluno-841,12/30/2011,11,Masculino,2022,Pública,,,Ametista,,7.3,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,0.0,7.2,7.52,7.5,,6.9,6.7,7.0,,,,9.84,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-709,ALFA,6.6927,Agata,ALFA G - G2/G3,Aluno-709,8/29/2012,11,Feminino,2022,Pública,,,Quartzo,,5.313,,,,,2.0,Avaliador-13,,Avaliador-3,,,,,,10.0,7.9,7.52,5.625,,4.9,5.5,4.3,,,,6.59,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-913,ALFA,7.7432,Ametista,ALFA H - G0/G1,Aluno-913,2013-02-03 00:00:00,1900-01-10 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,8.0,8.5,6.89,6.25,,7.9,9.5,6.3,,,,9.245,5.0,Fase 2 (5° e 6° ano),-2,,,,
RA-726,ALFA,7.3687,Ametista,ALFA H - G0/G1,Aluno-726,1/31/2015,8,Feminino,2022,Pública,,,Ágata,,6.985,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,10.0,6.1,7.52,5.625,,6.0,6.2,5.8,,,,8.17,10.0,ALFA (1° e 2° ano),0,,,,
RA-914,ALFA,8.6912,Topázio,ALFA H - G0/G1,Aluno-914,5/16/2015,8,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,10.0,9.2,7.52,6.25,,8.7,9.0,8.4,,,,8.67,10.0,ALFA (1° e 2° ano),0,,,,
RA-915,ALFA,8.5962,Topázio,ALFA H - G0/G1,Aluno-915,2015-05-08 00:00:00,1900-01-08 00:00:00,Feminino,2023,Pública,,,,,,,,,,2.0,Avaliador-11,,Avaliador-3,,,,,,10.0,8.4,7.52,7.5,,8.4,8.1,8.7,,,,8.67,10.0,ALFA (1° e 2° ano),0,,,,
